label,color,x,y,z
A1,FF3F00,-24.99,-6.539,-0.45
A2,FF003F,-16.87,-14.587,6.79
AMYG,00664C,-8.1,-4.527,-15.32
CCA,00B386,-2.27,3.018,15.28
CCP,660019,-1.8,-15.09,15.37
CCR,B35900,-1.7,-10.563,13.47
CCS,B30000,-1.89,10.06,0.79
FEF,006633,-10.01,4.024,14.99
G,661900,-19.45,6.036,2.6
HC,006619,-16.49,-12.072,-12.27
IA,4C6600,-18.21,2.515,-3.22
IP,FFBF00,-19.55,-3.018,4.12
M1,006666,-2.37,-7.545,22.52
PCI,00FF00,-22.89,-19.617,16.14
PCIP,00FF7F,-5.52,-28.671,16.42
PCM,0000B3,-5.42,24.144,0.79
PCS,2CB300,-15.64,-17.605,22.14
PFCCL,00B32C,-15.64,14.587,11.84
PFCDL,7FFF00,-9.63,12.575,17.95
PFCDM,006600,-3.42,16.599,16.42
PFCM,0059B3,-2.08,19.617,6.79
PFCOI,196600,-7.62,2.15E-06,-4.84
PFCOL,FF00BF,-15.64,14.587,7.08
PFCOM,664C00,-4.37,17.605,3.55
PFCPOL,00FFFF,-6,23.641,10.8
PFCVL,B300B3,-21.36,11.066,8.98
PHC,00B359,-11.73,-14.084,-12.08
PMCDL,86B300,-3.99,5.533,21.86
PMCM,336600,-3.23,3.018,18.71
PMCVL,B30059,-25.28,3.018,1.17
S1,7F00FF,-3.61,-19.617,24.81
S2,330066,-19.07,-8.048,7.55
TCC,00B300,-21.46,-10.563,-7.12
TCI,00FFBF,-24.99,-7.545,-14.66
TCPOL,00B3B3,-16.4,-1.509,-19.52
TCS,3FFF00,-27.85,-5.03,-4.93
TCV,00FF3F,-19.07,-23.641,-8.08
V1,B3B300,-12.2,-36.216,3.36
V2,BFFF00,-9.82,-32.192,-1.69
VACD,66004C,-9.44,-34.204,7.94
VACV,59B300,-25.75,-26.156,-4.55
VAC,59B300, -17,-30, 1
